RK,YEAR,PLAYER,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,REB,PTS
611,So,Kobe Julien,Louisiana Lafayette,SB,16.6,0.6,1.7,104.6,20.9,45.7,47.9,7.9,7.2,12.8,13.9,2.5,2.3,1.2,3.5
612,Fr,Harry Wessels,Saint Mary's,WCC,16.4,0.7,0.2,109.4,24,60,60.5,17.1,16.2,7.9,22.2,2.7,1.2,1.7,2.6
613,So,Breon Pass,North Carolina St.,ACC,16.2,-0.3,-4.2,80.1,14.7,42.4,45.5,2.5,10.9,5.8,29.1,0.5,2.7,0.9,1.5
614,So,Julius Rollins,Kent St.,MAC,16.1,0.1,-0.2,101.6,14.7,50,54.2,7.7,12.9,7.4,24.5,1.8,3.1,1.6,2.1
615,Fr,Kobe Young,Boise St.,MWC,16.1,0.2,1.5,107.5,10.3,51.5,53,4.1,18.7,4.2,13.9,2.7,0.6,1.7,1.4
616,Fr,Sam Alamutu,Vermont,AE,15.9,-0.2,-1.4,86.5,16,64.5,61,6.8,19.5,7,36.9,1.1,2.4,2.2,2.4
617,So,Adama Bal,Arizona,P12,15.7,0.4,0.4,101.2,15.8,51,54.2,2.8,10,10.2,21.1,0.5,1.8,1,2.5
618,So,Nate Santos,Pittsburgh,ACC,15.7,-0.3,-3.7,80.1,16.5,33.6,36.4,3.4,16.1,5.9,13.8,1.1,2.3,1.3,1.6
619,Sr,Dusan Mahorcic,North Carolina St.,ACC,15.6,2.4,4.6,120.7,21,64.3,63.6,13.6,22,10.6,17.2,3.6,1.9,6.5,8.7
620,Fr,LJ Wells,Northern Kentucky,Horz,15.3,0,-3,98.9,15.3,40.5,42.1,11.8,17.5,8.8,14.5,2.6,2.5,2.1,1.7
621,Sr,Jonathan Tchamwa Tchatchoua,Baylor,B12,15.2,2,3.9,114.7,14.4,57.5,61.7,8,21.3,4.8,20.9,2.4,1.2,4.7,5.7
622,Sr,Charles Lampten,College of Charlesto,CAA,15.2,-0.3,-5.6,85.1,12.9,45,45,16.6,12.7,2.3,36.9,7.4,1.7,2,0.8
623,Fr,VIncent Iwuchukwu,USC,P12,15,1,0.6,98.7,21.5,50.9,56.5,7.7,12.4,4.1,22.4,8.3,0.3,2.5,5.4
624,Fr,Henri Veesaar,Arizona,P12,14.9,0.8,5.9,121.8,15.7,65.5,68,7.8,14.1,12.3,20.7,6.1,1.1,1.5,2.5
625,Fr,Adou Thiero,Kentucky,SEC,14.7,0.4,1.6,99,16.5,39.7,51.5,9.7,13.1,6.7,24.8,3.5,2.8,2.1,2.6
626,Fr,Mac Etienne,UCLA,P12,14.6,0.1,1.1,99.1,12.4,36.4,36.6,14,21.7,4.7,9.6,8.7,1.8,2.1,1
627,So,Daimion Collins,Kentucky,SEC,14.6,-0.1,-4.8,84.5,18.4,42.5,47,9.8,18.3,3.6,29.3,5.8,1.6,2,2
628,So,Isaiah Richards,Louisiana Lafayette,SB,14.3,0.1,-2.9,95.7,15.4,45.8,52.3,12,23.7,3.8,26.4,1.8,3,2,1.5
629,So,Eric Northweather,Drake,MVC,14.2,-0.2,-1.7,81.5,19.5,33.3,35.9,8.5,17.6,10.1,16.1,6.1,1.9,2,2.3
630,Fr,Nick Martinelli,Northwestern,B10,14.2,0.8,2.2,113.5,15.1,53.8,53.7,10.9,5.9,6.8,11.2,0,2,1.5,2.7
631,Jr,Dallion Johnson,Penn St.,B10,14,0,-3.1,91.1,15.1,46.1,46.1,0.6,9.2,7.2,10.3,0,1.2,0.8,2.1
632,Fr,KeShawn Murphy,Mississippi St.,SEC,14,0.5,6.1,101.4,19.3,50,51.5,6.6,13.1,16.9,20.4,7.1,3.3,1.8,3.3
633,Jr,Okay Djamgouz,Drake,MVC,13.7,0.5,1.8,121.1,13.6,65.2,66.8,0.7,5,2,11.9,0,1,0.4,3.1
634,Sr,Quinn Slazinski,Iona,MAAC,13.6,2,1.7,104.3,23,49.3,52.3,6.2,18.4,12.8,16.4,1.2,1.2,5.7,11.3
635,So,Nicolas Louis-Jacques,Colgate,Pat,13.6,0,-6,98.9,14,55.3,54.8,0,5.2,4.4,14.1,0.6,0.3,0.3,2
636,Fr,AJ Casey,Miami FL,ACC,13.5,0.2,-1.7,107.1,10.3,38,44,7.8,12.8,4.3,9.7,3.7,0.3,1.2,1
637,Jr,Caleb Dorsey,Penn St.,B10,13.4,0,-1.9,92.5,15.2,43.2,45.3,6.7,15,6.4,17.1,1.7,1.9,2.2,2.3
638,Sr,Hason Ward,Iowa St.,B12,13.3,0.8,7.4,116.2,18.8,67.4,64.9,16.8,19.4,8.9,20.7,8.1,4.9,2.2,2.9
639,Fr,Rafael Castro,Providence,BE,13.1,0.6,5.8,116.1,17.2,51.4,53.8,18.6,18.9,8.3,15.9,7.8,3.4,2.1,1.8
640,So,Harrison Hornery,USC,P12,13.1,0.2,0.2,105.3,11.1,48.3,49.5,6.6,9.3,4.1,12.5,3.2,1.7,1,1.4
641,Fr,Evan Eursher,Southeast Missouri S,OVC,13,-0.2,-2.9,97.2,11.5,45.6,49,2.6,9.3,4,13.4,0.6,2.2,0.9,2
642,Sr,Francisco Caffaro,Virginia,ACC,12.9,0.6,-2.6,114.9,14.1,75,70,12,14.5,4.7,24.5,0.8,0.4,1.8,2
643,Sr,Jamel Jr. Horton,Mississippi St.,SEC,12.8,-1,-6.8,68.5,14,31,31.9,1.3,8.1,20.1,33,0.8,1.8,1,1.4
644,Jr,Pavle Kuzmanovic,Boise St.,MWC,12.8,-0.1,-0.8,87.5,15.6,50,52.3,0,6.2,9.8,27.7,0,1.1,0.5,1.9
645,Jr,Ronnie DeGray III,Missouri,SEC,12.6,0.7,1.2,118.3,12,48.2,53.4,10.7,10.7,3.8,11.4,5.3,2.7,1.8,2.1
646,Fr,MJ Rice,Kansas,B12,12.6,0.1,-3.7,87.3,19.1,43.9,46.6,7.5,8.3,4.1,20.9,1.2,2.3,1,2.2
647,Fr,Carson Cooper,Michigan St.,B10,12.6,0.2,1.7,105.4,12.5,69.6,64.7,4.7,9.3,2.4,21.7,5,1.5,0.7,1.4
648,Sr,Dom Welch,Alabama,SEC,12,-0.2,-0.6,84.1,14.6,35,40.5,3.9,13.5,4.9,20.2,2.7,1,1.6,1.9
649,So,Cesare Edwards,Xavier,BE,11.7,0.2,-4.1,93.3,17.4,55.6,55.2,10.6,16.6,5,27.9,1.9,0.3,1.9,2.3
650,Fr,Trevon Blassingame,Fairleigh Dickinson,NEC,11.6,-0.4,-9.6,81.5,14.4,40.9,42.4,0.8,7.8,9.8,24.2,2.5,0.4,0.8,2.1
651,Jr,Joe Anderson,Furman,SC,11.4,0.1,-2.1,108.3,9.7,39.5,40.1,0,7.4,22.4,16.7,0,2.8,0.6,1.6
652,Fr,CJ Gunn,Indiana,B10,11.4,-0.2,-4.7,78.8,19.6,32.7,34.9,2.5,6.5,8.9,9.8,1.5,3.9,0.6,2
653,Jr,Thomas Weaver,Howard,MEAC,11.3,-0.8,-9.8,59.7,11.4,34.1,34.9,0,8.1,5.8,34.9,0,2,0.4,1.2
654,Jr,Jasman Sangha,Texas A&M Corpus Chr,Slnd,11.2,-0.5,-11.7,79.3,17.5,37.5,40,7.8,9.2,6.6,24.7,1.9,0.9,1.7,2.6
655,Jr,John Hugley IV,Pittsburgh,ACC,11.1,1,-1.6,99,25.6,53.3,57.2,10.5,12.2,8.1,25.3,4.7,1.2,3.6,8
656,So,Ramon Walker Jr.,Houston,Amer,11.1,-0.1,-1.8,97,12.5,42.9,46.3,5.4,13.3,4.3,19.6,0,0.8,2.5,2.9
657,Fr,Jourdyn Grandberry,Texas A&M Corpus Chr,Slnd,11.1,0,-2.6,97.5,15.8,45.6,49,0,9.2,10.8,16.5,1.9,3.5,0.8,2.8
658,Fr,Joseph Pinion,Arkansas,SEC,10.9,1,6.8,140.3,14.5,61.1,64.2,3.4,8.7,3.9,0,0.7,2.4,0.6,2.6
659,Fr,Noah Batchelor,Maryland,B10,10.9,-0.2,-2.4,82,17.5,38.9,42,1.7,20.2,6.3,19.5,1.5,0.9,1.2,1.7
660,Sr,Amadou Sylla,UNC Asheville,BSth,10.4,-0.4,-8.4,77.6,17.1,36,39.7,13.1,20.6,2.7,27.6,3,1.3,2.5,1.9
661,Fr,Brian Waddell,Purdue,B10,10.1,-1.1,-5.2,55.8,9.6,15.8,22,0,9.3,8.3,28.6,0,0.5,0.6,0.5
662,Fr,Oziyah Sellers,USC,P12,10.1,0.1,-2.5,100.2,11.7,43.5,43.8,0.9,4.8,6.8,3.8,0.8,1.3,0.3,1.1
663,Fr,Kaleb Banks,Indiana,B10,10,0.4,-1.1,103.3,20.6,58.6,57.9,5.6,12.3,10.3,19.2,0.8,1.8,1,2.2
664,Fr,Toibu Lawal,VCU,A10,10,-0.1,-4.3,83.4,18.8,53.8,48.4,12.9,12,4.2,27.4,5.7,1.7,1.2,1.4
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
