RK,YEAR,PLAYER,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,REB,PTS
72,Fr,Brandon Miller,Alabama,SEC,78.7,5.3,11.9,121.2,24.1,56.8,61.3,6.1,17.8,12.4,14.1,2.4,1.5,8.2,19.5
73,Jr,Reece Beekman,Virginia,ACC,78.6,2.7,5.7,108.7,20,45.8,50.7,2,9.5,32.3,14.9,1.9,3.5,3,9.4
74,Sr,Sean Bairstow,Utah St.,MWC,78.3,2.2,2,105.7,18.3,51.4,51.9,4.9,14,14.8,14.4,0.7,0.8,5.2,10.4
75,Sr,Adam Flagler,Baylor,B12,78.2,5.3,7.1,120.1,22.9,52.3,55.9,1.2,7.9,28.9,13.3,0.2,2.2,2.5,15.5
76,So,Trey Alexander,Creighton,BE,78.2,3.5,6.6,114.4,20.4,54.7,58.8,1.4,12.9,15.2,12.8,1.4,1.9,4.2,13.6
77,So,Devin Carter,Providence,BE,78.1,3.1,6.2,111,21.2,48.7,53.9,4.5,13.5,14.2,14.3,3.4,3.3,4.9,13.1
78,Jr,Trayce Jackson-Davis,Indiana,B10,78,6.3,14.5,117.7,30.3,57.9,60.5,10.4,25.2,25.3,14.5,8.8,1.5,10.9,20.8
79,Sr,Jahmir Young,Maryland,B10,78,4.1,8.1,108.6,29.4,46.7,52.9,4.5,13.9,22.5,14.1,1.4,2.5,4.7,16.1
80,Sr,Donta Scott,Maryland,B10,77.9,2.4,3.5,103.1,22,45.5,48.2,6.6,16.7,10.9,12,2.7,1.3,5.9,11.5
81,Sr,Filip Rebraca,Iowa,B10,77.8,4.3,4.3,118.9,21.4,57.5,60.1,9.9,17.9,12.3,14.1,3.1,1,7.6,14.1
82,Sr,Oscar Tshiebwe,Kentucky,SEC,77.8,5.6,9.2,123.4,24.2,56.3,60.4,18.8,27.1,9.4,14,3.3,2.8,13.1,16.5
83,Sr,Grant Singleton,Fairleigh Dickinson,NEC,77.8,3.2,2,122.5,19.6,55.5,58.9,1,13.2,19.1,10.8,0.4,3.2,3.6,14.3
84,Jr,Mitchell Saxen,Saint Mary's,WCC,77.7,3.3,4.9,113.3,21.9,54.9,56.8,12.6,19.1,11.1,16.6,4.2,1.6,7.8,11.6
85,Jr,Max Shulga,Utah St.,MWC,77.7,3.5,5.2,112.8,21.3,52.7,59,2.5,13.7,23.1,19.1,1,1.5,4.4,12.1
86,Sr,Jalen Slawson,Furman,SC,77.5,3.6,7.9,117.4,24.6,59.8,63.9,7.2,20.2,20,19.9,5.6,2.8,7.1,15.7
87,Jr,Jordan Brown,Louisiana Lafayette,SB,77.5,3.5,2.4,106,29.5,55.2,56.8,9.5,23.8,11.8,17.9,3.7,1.1,8.7,19.4
88,Jr,Julian Strawther,Gonzaga,WCC,77.4,3.9,5.4,119.7,20.3,58.4,61.8,3.2,18.9,6.5,13,1.6,1.5,5.9,15.2
89,Jr,Kerr Kriisa,Arizona,P12,77.3,2.6,2.1,106.2,19.2,52.1,54.7,1.4,6.8,26.8,23.6,0.1,1,2.4,10.1
90,Fr,Davon Barnes,Texas Southern,SWAC,77.3,1.7,-1.1,99.8,22.8,46.3,52.1,4.7,10.7,12.9,17.6,0.6,1.5,4.3,13.6
91,Sr,Kareem Thompson,Oral Roberts,Sum,77.1,2.3,3.2,118.5,16.2,56.1,57.8,7.1,13.8,17,17.7,0.6,2.6,5.7,8.6
92,Sr,Terrell Burden,Kennesaw St.,ASun,76.8,2.2,2.1,101.8,26.2,51.9,55.3,1.7,10.6,27.4,21.3,1.5,3,3.1,13.5
93,Sr,Robin Duncan,Vermont,AE,76.7,2.3,3.6,114,18.1,53.2,52.3,7.6,22,26.2,15.6,1.5,1.8,7.3,7.8
94,Sr,DeAndre Williams,Memphis,Amer,76.7,4.6,9.2,115.9,26.7,57.3,60,9.3,19.5,19,15.7,3.7,2.6,8,17.8
95,Jr,Oso Ighodaro,Marquette,BE,76.7,3.9,7.4,122.3,18.2,65.3,64.3,7.3,15.6,18.4,16.7,5.6,1.7,5.9,11.4
96,Sr,Chris Harris,Southeast Missouri S,OVC,76.4,1.7,-0.5,101.1,24.6,45.3,52.6,1.4,16.1,12,14.1,0.5,1.6,4.7,15.4
97,Jr,Zach Edey,Purdue,B10,76.3,7.2,14.3,125.9,32.9,60.6,63.8,21.8,27.2,13.5,13.8,7.1,0.5,12.8,22.3
98,Fr,Caden Pierce,Princeton,Ivy,76.3,1.8,2.3,113.5,14.5,51.4,53.4,8,19,6.6,11.5,1.9,1.3,7.1,8.2
99,Sr,Taylor Funk,Utah St.,MWC,76.1,3.4,6.1,115,19.9,56.3,58.8,4.8,15.6,10.9,12.5,2.3,1.6,5.4,13.3
100,Sr,D.J. Jeffries,Mississippi St.,SEC,76.1,0.5,1.6,91,18.4,41.2,43.3,3.4,20,11.9,15.9,1.7,2.4,6.2,8.8
101,Fr,Aidan Mahaney,Saint Mary's,WCC,76.1,3.2,4.1,109.6,24.1,52.2,54,0.9,8.7,14.3,13,0.2,1.8,2.3,14.5
102,Jr,Jacob Toppin,Kentucky,SEC,75.6,3.3,4.1,111.6,20.9,50,52.5,7.2,18.6,13.4,13.5,1.7,1,6.9,12.5
103,Sr,Seth Lundy,Penn St.,B10,75.5,4.1,6.8,117.8,21.4,58,61.5,3.8,19.5,5.7,8.3,2.2,1.4,6.3,14.4
104,Jr,RaeQuan Battle,Montana St.,BSky,75.5,2.9,3.3,107.9,28.1,51.3,55.9,2.5,9.5,8.3,10.7,2.1,1.7,2.9,17.4
105,Sr,Tyrece Radford,Texas A&M,SEC,75.4,3.6,6.1,112.2,22.9,45.5,53.5,7.2,13.2,16.8,15.2,1.2,1.7,5.5,13.3
106,Sr,Marcus Sasser,Houston,Amer,75.4,5.1,11.5,123.7,25.2,55,59.8,1.5,8.8,19.9,12.9,0.8,3.4,2.8,17.1
107,Sr,Greg Williams Jr.,Louisiana Lafayette,SB,75.3,3.6,5.7,124.1,18.6,59.1,61.8,3.6,10.5,7.5,10.4,1.8,2.2,3.5,13.2
108,Jr,Tre Coleman,Nevada,MWC,75.3,1.6,4.5,113.1,11.8,52.7,55.4,2.5,9.5,16.3,14,3.7,2,3.1,6
109,So,Sam Vinson,Northern Kentucky,Horz,75.3,1.8,2.6,103.7,22.2,46.5,50.1,4.6,11.6,18.8,15.7,0.9,4.2,4.2,11.7
110,Fr,Darrion Williams,Nevada,MWC,75.3,2,5.9,110.2,15.5,48.1,51.3,5.1,23,18.1,11.9,1.5,2.9,7.3,7.6
111,So,Phillip Russell,Southeast Missouri S,OVC,75.2,3.2,1.1,107.9,29,48.2,55.3,2.5,7.7,31.1,16.4,0.3,2.4,2.9,18.2
112,Jr,Kris Murray,Iowa,B10,75.1,5.7,8.1,119.6,25.6,55.6,58,8.6,17.8,12,9.7,3.4,1.7,7.9,20.4
113,Jr,A.J. Hoggard,Michigan St.,B10,75.1,3.4,4.6,105.3,27.5,44.4,51.5,0.7,13.4,39.4,18.3,1.1,1.8,3.8,12.5
114,Fr,Braden Smith,Purdue,B10,75.1,3.7,7.2,120.3,18.7,52.8,59.6,3.2,13.3,26.9,20.3,0.6,2.5,4.2,9.8
115,Jr,Gabe McGlothan,Grand Canyon,WAC,75,3.2,2.3,113,22.1,56.1,58.9,10.3,19,6.6,16.4,1.9,1.2,7.7,12.8
116,Jr,Azuolas Tubelis,Arizona,P12,75,5.2,8.8,117.7,28.1,58.5,61.8,10.9,22.2,14.2,14.9,2.3,1.9,9.3,19.8
117,Jr,Adrian Baldwin Jr.,VCU,A10,75,2.9,4.1,107.4,22.4,48.1,53.9,2.2,7.6,33,19.9,0.4,3.7,2.9,12.7
118,Fr,Jalen Hood-Schifino,Indiana,B10,74.9,2,-0.2,95.2,24.9,46.8,49.9,1.4,12.2,20.3,19.7,0.8,1.5,4.1,13.5
119,Sr,Roman Penn,Drake,MVC,74.5,3.5,4.5,113.6,24.6,50.8,55.4,2.9,14.7,34.8,15.6,0.6,1.8,4.6,12.6
120,Sr,Miller Kopp,Indiana,B10,74.5,2.8,3.6,126.3,10.6,63.5,64.8,1.4,7.8,6.6,10.5,0.6,1.3,2.5,7.9
121,Sr,Oliver Lynch-Daniels,Colgate,Pat,74.3,2.6,1.5,120.9,16.4,66.6,67.5,1.6,11.6,11.4,15.7,0.3,1.6,3.5,12.3
122,Sr,Terrence Shannon Jr.,Illinois,B10,74.3,4.3,6.1,112.2,26.9,51.1,57.9,4.6,12,18.1,17.4,1.6,2.3,4.7,17.1
123,Sr,Santiago Vescovi,Tennessee,SEC,74.3,3.5,8.7,114.9,19,53.5,56.1,2.1,14,17.8,14.9,0.3,3.4,4.6,12.9
124,So,Chance McMillian,Grand Canyon,WAC,74,2.4,0.8,111.4,18.2,56.8,58.3,2.7,9.2,12.9,17.4,0.5,1.3,3.1,10.7
125,Jr,Darius Brown II,Montana St.,BSky,73.9,2.6,5.5,118.5,18.1,52.4,58.9,2,17.1,32.4,17,0.1,3.8,4.5,9.1
126,Fr,Cason Wallace,Kentucky,SEC,73.9,3.3,6.9,112.4,20.2,51.6,54.2,3.3,9.8,24.3,19,1.7,3.7,3.5,11.6
127,Sr,John Walker III,Texas Southern,SWAC,73.8,1.7,-0.2,102.1,22.2,48.8,52.4,5.7,10,9.7,14.7,3.9,1.1,4.3,12.6
128,Sr,Tre Mitchell,West Virginia,B12,73.8,2.9,4.9,108.1,20.2,53.2,57.1,5.6,17.4,12.1,20.1,2.3,1.5,5.5,11.6
129,So,Kam Jones,Marquette,BE,73.8,3.5,7,114.5,21.7,57,57.9,0.9,13.2,12.6,8.9,0.6,2.7,3.5,15
130,Sr,Nick Honor,Missouri,SEC,73.7,2.6,2.1,118.8,13.7,53.4,57.7,1.6,5,15.4,13.6,0,2.8,1.6,8
131,Sr,Armaan Franklin,Virginia,ACC,73.7,2.5,4.5,106.2,22.3,51.7,54.1,2.9,14.9,10.8,9.4,1.6,2,4.2,12.5
132,Jr,Chibuzo Agbo,Boise St.,MWC,73.5,2.1,2.8,104,20.7,50.5,55,3.5,15.1,5.4,15.8,0.6,1.6,4.7,11.5
133,Sr,Garrett Sturtz,Drake,MVC,73.4,2.8,4.6,124.2,14.8,60.6,64.8,5.4,19.5,6.5,12.7,0.8,2,6.3,9.5
134,Jr,Marcus Foster,Furman,SC,73.2,1.6,0.7,111.4,16.5,52.6,55.8,4.8,15.4,6.4,13.4,0.8,2.1,5.2,10.6
135,Sr,Jack Nunge,Xavier,BE,72.9,4.4,8,122.7,21.5,58.1,60.2,11.8,18.6,12.4,11.7,3.9,1.7,7.8,14.1
136,So,Nijel Pack,Miami FL,ACC,72.9,3,2.9,111.5,20.6,54.2,56.4,2.4,7.9,13.9,16,0.7,1.9,2.7,13.2
137,Jr,LJ Cryer,Baylor,B12,72.9,4.2,4.9,116.8,19.9,55.8,59.2,0.9,7.2,13.6,15.2,0.1,0.9,2.1,14.5
138,So,Tyrese Hunter,Texas,B12,72.9,1.7,1.8,98.5,19.7,46.6,50.4,1.8,9.7,14.7,17.6,0.4,1.6,2.9,10.2
139,Fr,Tamin Lipsey,Iowa St.,B12,72.8,1.8,6.1,102.7,18.7,50.5,54.2,5.4,11.2,28.8,28.1,0.5,4.5,3.8,7.4
140,So,Themus Fulks,Louisiana Lafayette,SB,72.7,1.3,-2.3,95.8,23.6,45.2,49,1.9,10.1,34.1,27.1,0.1,2.1,2.9,9.4
141,Fr,Tyrese Proctor,Duke,ACC,72.7,2,2,106.5,18.9,46.2,50.8,1.9,10.3,20.5,18.6,0.4,1.2,3.1,9.3
142,Sr,Chris Brandon,Northern Kentucky,Horz,72.6,1.9,0,121,13.5,63.9,62.7,15.8,26.6,5.1,18.8,3.2,2.2,9.8,6.8
143,Sr,Trevian Tennyson,Texas A&M Corpus Chr,Slnd,72.6,2.6,1.7,115.5,22.6,57.8,61.6,1.3,8.5,8.3,15.3,0.6,1.3,2.4,15.7
144,Jr,Jeremy Roach,Duke,ACC,72.6,2.7,2,105.4,22.5,48.3,51.8,2.4,6.3,19.1,17.5,0,1.7,2.5,13.3
145,Sr,Connor McCaffery,Iowa,B10,72.4,2.7,2.6,120.8,12.2,49.7,55.3,3,12.4,18.9,16,0,2.6,4,6.5
146,Jr,Tramon Mark,Houston,Amer,72.3,2.3,4.6,109.4,18.9,45.3,49.8,5,13.5,11.5,13.3,2.1,2.3,4.7,9.7
147,Fr,Kyle Filipowski,Duke,ACC,72.3,3.3,6.5,105.9,29.1,48.9,54.1,10.8,24.7,11.1,18.5,2.7,2.5,9,15.4
148,So,Arthur Kaluma,Creighton,BE,72.1,2.1,1.9,99.9,23.5,47.8,52.1,6.5,16.2,10.2,16.9,1.7,1.1,5.9,11.9
149,Fr,Alex Karaban,Connecticut,BE,72.1,3.5,6.3,127.1,14.5,60.2,62.3,6.4,10.8,10.8,15.7,2.4,1.1,4.3,9.7
150,Fr,Fletcher Loyer,Purdue,B10,72.1,2.7,2,109,20.4,45.1,49.7,0.3,6.6,16.7,12.5,0.2,1.3,1.7,10.9
151,Sr,Greg Elliott,Pittsburgh,ACC,71.9,2.8,4.1,123.7,14.9,59.8,63.2,1,13.7,7.8,11.7,0.7,1.5,3.8,10.4
152,Sr,Ryan Moffatt,Colgate,Pat,71.9,3,3.5,130.4,14,65.6,66.5,3.4,13.1,9,8.8,0.3,2.7,4.2,10.5
153,Sr,Anton Watson,Gonzaga,WCC,71.8,4,8.4,127.9,18.1,63.4,62.9,9.3,14.4,12.9,12,2.4,3.5,5.8,11.3
154,Sr,Tristen Newton,Connecticut,BE,71.8,3.2,5.6,112.6,21.4,45.5,54,4.8,12.3,27,22,1,2.4,4.2,10.2
155,Jr,Ryan Kalkbrenner,Creighton,BE,71.8,5.4,9.9,134,18.8,72.3,73.8,9.5,12.2,8,14.5,6.2,1.3,6.1,15.4
156,Jr,Mark Sears,Alabama,SEC,71.7,3.2,6.4,112.3,19.9,51.5,57.4,2.2,8.9,15.8,18.2,0.3,2.2,3.5,12.8
157,Sr,Kevin McCullar Jr.,Kansas,B12,71.6,2.3,5.9,102.1,19.7,48.9,54.2,4.8,20.9,13.2,19.8,2.4,3.8,7.1,10.7
158,Sr,D'Moi Hodge,Missouri,SEC,71.5,4.4,10.3,125.4,20.3,61.3,62.8,2.9,12.7,10.8,7.4,2.3,5.2,3.8,14.8
159,Jr,Tony Perkins,Iowa,B10,71.4,3,3.4,107.9,22.3,47.9,52.7,4.8,11.2,17,15,1.4,2.8,4.1,12.5
160,So,Kobe Johnson,USC,P12,71.4,2.7,7.4,112.1,17.4,53.9,59.5,5.4,13.3,16.3,20.4,1.6,4.5,4.9,9
161,Sr,D.J. Wilkins,Drake,MVC,71.3,0.9,0.5,103.3,15.7,51.2,53.2,1.2,7,9,13.9,0.4,1.1,2,8.2
162,Jr,DJ Horne,Arizona St.,P12,71.3,2,2.4,99.5,22.3,44.1,48,1.6,10.6,16.8,12.4,0.5,2.2,3.4,12.1
163,So,Nolan Hickman,Gonzaga,WCC,71.2,2,3.4,111.8,15.4,52.6,54.5,1.1,9.4,16.5,17.4,1.3,1.9,2.5,8.4
164,So,Kentrell Garnett,Louisiana Lafayette,SB,71,1.4,0.7,117.4,10.2,57.2,59.7,1,7.3,5,14.7,0.4,1.8,2.1,6.8
165,So,Jayden Nunn,VCU,A10,71,1.6,3.9,108.3,16.3,52.3,55.7,1.3,8.6,10.7,14.1,2.2,3.1,2.4,9.3
166,Jr,Olivier-Maxence Prosper,Marquette,BE,70.9,3.1,1.8,114.5,20,57.6,61.5,7.2,12.3,4.2,14.7,0.6,1.9,4.6,12.4
167,So,Norchad Omier,Miami FL,ACC,70.9,3.9,5,119.4,23.7,60,62.7,15.4,25.6,8.2,17.3,5,2.1,9.7,13.6
168,Sr,Damion Baugh,TCU,B12,70.8,3,4.7,102,22.2,46.6,51.3,2.3,12.7,29.7,20.9,0.8,3,4.6,12.6
169,Sr,Marcus Shaver Jr.,Boise St.,MWC,70.7,2.7,4.8,99.8,26.4,42.3,48.6,2.3,19.3,23.2,15.4,1,2.9,6.1,13.5
170,Sr,Ed Croswell,Providence,BE,70.6,4,4.9,122.6,21.3,60.7,62.4,16,14.6,5,14,3.4,2.4,7.6,13.2
171,Sr,Courtney Ramey,Arizona,P12,70.5,2.6,4.9,109,17.2,54.4,54.5,1.6,11.2,18.6,16.9,0.2,1.9,3.8,10.6
172,Sr,Kobe Brown,Missouri,SEC,70.5,5,8.2,125.7,23.7,62.1,65.4,7.5,18,16.8,13.7,1.9,2.9,6.3,15.8
173,Sr,Desi Sills,Kansas St.,B12,70.2,1.5,2.3,101.9,16.5,47.8,53.8,2,12,14.9,20.3,1.5,1.8,3.6,8.7
174,Sr,Ryan Larson,College of Charlesto,CAA,70.1,2.4,5.3,113.7,20.7,52.3,55.5,4.4,8.4,25.4,19.9,0.4,3.3,3.3,10.6
175,Jr,Wendell Green Jr.,Auburn,SEC,70.1,3.1,5.4,102.5,28.6,42.3,51.5,1.5,11.8,29.3,19.5,0.1,3.6,3.3,13.8
176,Sr,Adam Kunkel,Xavier,BE,70,2.3,2.6,109.2,17,54.9,57.2,0.8,9.4,15.9,18.8,0.5,1.9,2.7,10.5
177,Sr,Kedrian Johnson,West Virginia,B12,70,2.9,4.1,106.8,21.7,45.4,55.1,2.5,7.3,20.1,20.8,0.2,3.6,2.3,11.2
178,Sr,Naje Smith,Boise St.,MWC,70,2.7,5.1,112,19.6,57.6,60,8,15,8.9,17.9,4.1,1.4,5.5,10.1
179,So,Jordan Hawkins,Connecticut,BE,70,4.4,6.4,119.9,22.8,52,57.1,4.1,11.1,8.7,12,1.9,1.5,3.9,16.1
180,Sr,Isaac Mushila,Texas A&M Corpus Chr,Slnd,69.7,3.2,3.1,121.6,22.8,54.8,62.8,13,27.6,8.1,15.8,0.3,2.8,9.7,14.4
181,Fr,Keyonte George,Baylor,B12,69.7,3.6,5.3,103.9,29.9,48.3,53.4,4.4,13.4,20.6,20.2,0.6,2.2,4.2,15.8
182,Sr,David Singleton,UCLA,P12,69.6,3.3,6.7,127.8,13.5,57.5,60.5,2.3,9.1,6.4,7.9,0.8,2.4,2.7,9.1
183,Sr,Emmitt Matthews Jr.,West Virginia,B12,69.3,3.1,4.8,116.1,16.2,53,56.7,4.6,11.8,7.6,12.3,2,1.1,3.9,10.4
184,Sr,Finn Sullivan,Vermont,AE,69.2,2.1,4,106.7,23.1,53.4,56,2.6,18.9,15.9,13.5,3.2,2.5,4.9,11.9
185,So,Wade Taylor IV,Texas A&M,SEC,69.2,4.6,10.4,115.8,29.2,51.1,58.8,1.6,9.4,32.5,18.6,0.3,3.7,2.8,16.6
186,Jr,Ty Berry,Northwestern,B10,69.1,1.2,2.2,98.8,17.9,42.6,46.8,3.1,17,8.6,10.4,0.7,3.2,4.7,8.5
187,Sr,Dylan Penn,Vermont,AE,69.1,2.9,2.3,112.2,25.2,56.6,60.6,1.9,12.6,17.4,14.1,1.2,1.6,3.1,13.5
188,Jr,Oumar Ballo,Arizona,P12,69,3.8,7.5,115.6,22.7,64.9,63.5,9.9,23,10.9,16.5,4.9,1.5,8.5,14.2
189,Jr,Pelle Larsson,Arizona,P12,69,3.3,5.3,118.4,18,54.7,62.2,4.1,12.3,17.9,19.4,0.9,1.6,4.3,10.2
190,So,Walter Clayton Jr.,Iona,MAAC,68.9,4,8.6,119.2,25.2,54.5,59.6,1.9,14,20.6,13.5,1.9,3.6,4.3,16.9
191,Sr,Andre Kelly,UC Santa Barbara,BW,68.6,1.7,-0.4,107.6,18,56.9,57.4,6.2,21.9,6.6,15.4,3.1,1.1,6.5,9.5
192,Jr,Fletcher Abee,UNC Asheville,BSth,68.6,0.7,-1.2,110.5,11.7,53,56.4,1,5.9,4.6,11.1,0.5,1.6,1.9,8.1
193,Sr,Terrion Murdix,Texas A&M Corpus Chr,Slnd,68.5,3.1,6.4,116.2,26.7,51.4,57.1,5.4,12.7,39.9,18,0.9,4.7,4.3,13.4
194,So,Elijah Hawkins,Howard,MEAC,68.4,2.2,0.5,103.3,25.9,52,57.4,2.1,11.7,37.7,28.5,0,3.1,3.7,13
195,Sr,Camren Wynter,Penn St.,B10,68.3,2,0.6,105.4,18.8,54.4,56.3,1.8,10.3,13.6,15.6,0.1,1.1,2.9,8.9
196,Sr,Antonio Reeves,Kentucky,SEC,68.3,3.3,3.2,112.9,23.1,52.8,55.8,1.6,7.3,7.9,13.5,0.7,0.9,2.1,14.4
197,Sr,Miryne Thomas,Kent St.,MAC,68.2,1.8,3.7,110.6,19,52.4,55,7,16,5.2,13.8,2.9,2.6,5.5,10.6
198,Jr,Jalen Bridges,Baylor,B12,68.2,3.9,7.5,124.7,17.4,56.8,60.3,10.8,14.6,7.6,12.7,4.3,1.9,5.8,10.3
199,Sr,Noah Locke,Providence,BE,68.1,2.5,1.4,115.2,17,55.2,56.7,1.9,7.9,6.4,11.6,0.1,0.9,2.3,11.1
200,So,Frankie Collins,Arizona St.,P12,68.1,1.7,3.6,97.1,23,43.8,47.8,2.5,13.5,31.2,19.3,1,2.8,4.2,9.9
201,So,Ansley Almonor,Fairleigh Dickinson,NEC,68.1,2.1,-1.8,110.3,23.4,53.2,56.2,5.4,15.1,9.8,14.9,3.1,1.1,4.7,13.9
202,Sr,Tolu Smith,Mississippi St.,SEC,68,3.8,8.1,109.6,30.3,57.6,58.7,15,20.3,16.3,17.1,3.2,1.5,8.5,15.8
203,Sr,Jaylin Williams,Auburn,SEC,67.8,3.3,8,116.9,18.9,53.9,56.8,5.2,14.1,16.1,13,3.1,2.3,4.8,11.1
204,So,KJ Adams Jr.,Kansas,B12,67.8,3.3,5.1,115.7,18.8,63.1,62.9,9,9.3,13.7,18,3.1,1.5,4.4,10.4
205,Sr,Brandon Johns Jr.,VCU,A10,67.7,2,2.7,104,22.2,54.4,58.7,7.6,15.2,5.7,20.3,3.4,2.2,5.3,11.8
206,Sr,Jaylon Scott,College of Charlesto,CAA,67.7,0.2,2.1,103.7,12,47.7,51.8,7.1,14,15.2,28.7,2.5,2.3,5.3,4.1
207,Jr,Steve Settle III,Howard,MEAC,67.6,1,0.3,100.5,19.2,47.9,53.8,4.3,18.6,6.7,20.6,3.3,2,5.7,11
208,Jr,Jaylen Clark,UCLA,P12,67.3,3.6,10.5,115,21.3,52.1,54.9,7.3,16.1,11.4,11.3,1.1,5.1,6,13
209,Fr,Mark Mitchell,Duke,ACC,67.3,2.1,4.1,111.3,17.5,51.7,56.3,5.7,13.1,8.3,16.7,2.1,1.5,4.4,9.1
210,Sr,Darrion Trammell,San Diego St.,MWC,67.1,1.8,3.7,100.6,22.1,42.5,47.6,1.1,8.4,24.2,16.3,0.6,3,2.2,9.5
211,Fr,Tre White,USC,P12,67.1,2,0.7,105.2,18.2,50.6,52.9,6.4,14.4,7.7,14.1,1,1,5.1,9.1
212,Sr,Dexter Dennis,Texas A&M,SEC,67,2.1,4.8,110.5,16.4,46.8,51.1,5.2,17.8,8.7,12.4,3,1.6,5.7,9
213,Sr,Emanuel Miller,TCU,B12,67,2.8,4.7,107.8,20.4,54.9,56.1,7.2,18.2,11.7,16.5,3.1,1.7,6.6,12.4
214,Sr,Dan Akin,Utah St.,MWC,66.7,3.5,4.9,120.5,19.8,66.9,69.1,7.4,23,7.1,18.3,2.8,1.1,6.9,12
215,Jr,Adama Sanogo,Connecticut,BE,66.6,4.5,8.9,121.6,25.9,61.6,64,10.9,20.7,11.1,16.5,2.9,1.8,7.3,16.8
216,Jr,Cameron Matthews,Mississippi St.,SEC,66.6,1.5,4.7,105.1,16.8,50.3,55,8.4,15.3,17.1,22.8,3.1,3.5,5.6,7.1
217,Sr,Devan Cambridge,Arizona St.,P12,66.5,2.2,3,107.9,18.6,55.2,57.1,9,13,6.6,16.6,3.5,1.4,5.5,9.8
218,Sr,Desmond Cambridge Jr.,Arizona St.,P12,66.4,2.8,7.7,105,24.1,49.4,51.8,3.5,9.8,17.3,12.4,2,3.6,3.5,13.7
219,Sr,Allen Flanigan,Auburn,SEC,66.3,1.9,2.8,103.2,19.5,52,56.1,3.5,16.2,10.1,20.6,1,1.8,4.7,10.1
220,Sr,Dashawn Davis,Mississippi St.,SEC,66.3,1.6,3.2,101.1,18.1,45.3,49.8,1.9,5.8,23.5,20.5,0.2,3.6,2,8.5
221,Sr,Matt Bradley,San Diego St.,MWC,66.1,2.8,5.9,105.9,25.8,47.5,51.5,3.3,13.7,15.9,12.5,1.2,1.6,3.8,12.9
222,Sr,Xavier Rhodes,Northern Kentucky,Horz,66.1,0.9,0.8,100.3,19.7,50.2,51.1,2.5,8,26.6,22,1,4.4,2.3,7.7
223,Sr,Jalen Jackson,Texas A&M Corpus Chr,Slnd,66,-0.1,-3.4,93.3,17.8,44,49.3,2.9,10.3,17.9,25.5,0.6,2.9,2.9,7
224,Jr,Nae'Qwan Tomlin,Kansas St.,B12,66,2.6,5.3,111,18.8,52.1,55.4,10.1,15.9,9.1,14.4,3.5,2.4,6,10.2
225,Sr,Rasir Bolton,Gonzaga,WCC,65.9,2.7,2.6,116.9,18.3,52.9,56.4,1,7.4,15.1,12.6,0.5,1.7,1.9,10.4
226,Sr,Matthew Mayer,Illinois,B10,65.9,2.9,6.7,111.7,22.6,51.9,55.4,4.3,18.7,8.6,12.8,4.7,1.8,5.5,12.8
227,Sr,Robbie Beran,Northwestern,B10,65.9,1.8,2.3,109.6,15.5,46.6,52.2,5,15.8,5,9.3,3.7,1.3,4.7,7.8
228,Jr,Henry Coleman III,Texas A&M,SEC,65.9,2.3,4,111.2,18.1,54,58.1,9,14.8,7.6,18.3,0.6,2,5.6,9.5
229,Fr,Jarace Walker,Houston,Amer,65.7,2.8,7.4,111.5,22.2,52.1,53.3,9.7,17.9,12.1,15.2,5.3,2.3,6.6,11
230,Sr,Jayden Gardner,Virginia,ACC,65.5,2.7,3.3,108.2,24.9,51.5,54.4,9.6,18.1,6.3,9.5,2.3,2.2,5.8,12.1
231,Jr,J'Wan Roberts,Houston,Amer,65.3,3.8,8.9,129.1,18.5,62.3,63.6,13.1,20.6,8,12.7,6.7,1.8,7.8,10.4
232,Jr,Andre Jackson Jr.,Connecticut,BE,65.2,2.1,5.9,108.5,16.7,48,50.3,7.8,17.8,24.6,24.9,2.2,2.1,6.3,6.7
233,Sr,Connor Vanover,Oral Roberts,Sum,65,2.8,7.7,119.2,21.8,58.6,61.1,7.1,23.5,5.7,11.3,12.1,1.4,7.2,12.9
234,Sr,Josh Pierre-Louis,UC Santa Barbara,BW,65,1.6,0.8,101.3,22.3,53.1,54.7,5.1,13.7,17.3,20.1,0.6,2.9,4,9.7
235,So,Zakai Zeigler,Tennessee,SEC,65,2.9,7.8,107.4,23.2,46.6,51.1,1.3,9.5,36.4,20.7,0.9,4.1,2.7,10.7
236,Jr,Brandon Stroud,Kennesaw St.,ASun,64.9,1.4,2,102.7,21,51.7,52.2,8.1,22,12.2,15.9,1,3.3,6.5,9.3
237,Sr,Berrick JeanLouis,Iona,MAAC,64.8,1.5,2.4,112.7,14.6,51.7,53.2,5.1,11.8,12,13.1,4,2,4.2,7.8
238,So,Julian Reese,Maryland,B10,64.8,3,4.8,111.5,22.8,63.2,62,12.1,21.2,8.1,19.3,4.8,1.9,7.3,11.2
239,Sr,Calvin Wishart,UC Santa Barbara,BW,64.7,1.6,0.7,111,16.3,54.1,59.1,1.4,12.7,18.7,19.9,0.4,2.3,2.9,7.3
240,Sr,Jelani Williams,Howard,MEAC,64.7,1.1,-0.7,101,20.7,47.5,51.5,6.6,14.2,15.4,20.9,0.3,2.7,4.4,9.2
241,Sr,Erik Stevenson,West Virginia,B12,64.5,3.7,6.8,108.9,29,53.1,56.1,2.1,14.5,22.2,17.4,0.7,2.3,3.5,15.5
