RK,YEAR,PLAYER,TEAM,CONF,MIN%,TS,OR,DR,AST,TO,BLK,STL,FTR,AST,REB,PTS
45,So,Norchad Omier,Miami FL,ACC,70.9,62.7,15.4,25.6,8.2,17.3,5,2.1,45.5,1.3,9.7,13.6
46,So,Jalen Warley,Florida St.,ACC,70.1,56.2,4,8.5,21.6,20.9,0.6,2.6,54.2,3.3,2.9,6.8
47,Sr,Grant Basile,Virginia Tech,ACC,69.4,61.7,5.9,16.7,13.6,13.3,4.5,1,22.5,1.7,5.3,16.4
48,Sr,Brevin Galloway,Clemson,ACC,68,59.1,1,8.1,14.8,16.4,0.8,1.8,31.9,2.3,2.4,11.3
49,Sr,Pete Nance,North Carolina,ACC,67.4,54.7,4.3,17.7,10.3,17.9,3.7,0.7,37.5,1.7,6,10
50,Fr,Mark Mitchell,Duke,ACC,67.3,56.3,5.7,13.1,8.3,16.7,2.1,1.5,40.3,1.2,4.4,9.1
51,Sr,Ja'von Franklin,Georgia Tech,ACC,66.2,60.3,12.7,20.4,15.6,14.8,6.2,3.2,41.3,2.2,8.1,9.7
52,Sr,Jayden Gardner,Virginia,ACC,65.5,54.4,9.6,18.1,6.3,9.5,2.3,2.2,35.7,0.7,5.8,12.1
53,Fr,JJ Starling,Notre Dame,ACC,64.5,48.2,2.2,9.3,8,12.9,0.9,1.5,19.5,1.1,2.8,11.2
54,Sr,Lance Terry,Georgia Tech,ACC,64.3,53.1,1.9,9.3,8.2,11.8,0.7,1.2,16.8,1.2,2.8,10.1
55,Jr,JJ Traynor,Louisville,ACC,63.7,54.6,6,12.1,5.5,16,2.2,1,11.5,0.6,3.8,6.9
56,Jr,Jae'Lyn Withers,Louisville,ACC,63,55.4,3.7,22,7.1,25.3,1.8,1.6,30.4,0.8,5.3,8.9
57,Sr,Daivien Williamson,Wake Forest,ACC,61.6,54.1,1.3,7.3,4.9,12.2,0,0.7,16.8,0.7,2,8.7
58,Fr,Michael Collins Jr.,Virginia Tech,ACC,61.6,45.7,2.4,8.9,8.9,11.8,0,0.7,21.6,1.4,2.4,4.2
59,So,Federiko Federiko,Pittsburgh,ACC,61.1,67,12.5,13.8,3.9,15.5,8,1,46.8,0.5,5.6,7
60,Fr,Cameron Corhen,Florida St.,ACC,59.7,61,8,9.8,4.5,16.9,1.5,1.1,39.3,0.5,3.5,8.3
61,Sr,Kyle Sturdivant,Georgia Tech,ACC,59.4,48.1,0.7,10.5,27,17.3,0.4,1.7,20.3,3.3,2.3,8.6
62,Jr,PJ Hall,Clemson,ACC,58.9,61.4,8.2,18.3,10,14.5,4.8,1.6,30.6,1,5.6,15.4
63,So,Wooga Poplar,Miami FL,ACC,58,58.8,2.2,14.4,10.9,16.6,1.2,2.8,18.9,1.5,3.3,8.3
64,Sr,DJ Burns,North Carolina St.,ACC,57.2,57.5,8.6,15.2,14.1,17.3,4.1,1.7,23.6,1.5,4.8,12.8
65,Sr,Nike Sibande,Pittsburgh,ACC,56,55.7,2.9,16.7,10.5,13.7,1.2,1.4,29.1,1.2,3.9,8.5
66,Sr,Ben Vander Plas,Virginia,ACC,55.9,50.4,4.8,18.7,11.6,9.9,2,2.1,29.4,1.4,4.6,7.4
67,Fr,Isaac McKneely,Virginia,ACC,53.1,57.4,1.3,11.9,6.8,12.8,0.8,1.1,13.4,0.7,2.2,6.6
68,Fr,Kamari Lands,Louisville,ACC,52.6,47.1,1.5,9.6,8.1,16.4,0.7,1.7,32,0.8,1.9,5.9
69,Jr,Mason Madsen,Boston College,ACC,52.6,47.2,1.4,13.7,7.7,12.9,1.2,1.5,12.5,0.8,2.6,5.8
70,So,Benny Williams,Syracuse,ACC,51.9,51.7,6.6,13.9,6.8,14.9,1.9,2,21.2,0.8,4.1,7.2
71,So,Bensley Joseph,Miami FL,ACC,51.1,58,1.9,10.4,15.6,23.5,1.8,1.7,27.3,2,2.1,5.4
72,Fr,Bobi Klintman,Wake Forest,ACC,51,52.8,6.2,19.4,6.7,17.9,3.2,1.3,23.3,0.8,4.5,5.3
73,So,Jalon Moore,Georgia Tech,ACC,49.4,48,9.1,15.8,8,16.3,4.5,2,44.9,0.8,4.7,7.6
74,Jr,Damari Monsanto,Wake Forest,ACC,49,59.9,1.3,15.8,5.1,11.8,1.2,2.3,13.5,0.6,3.6,13.3
75,Jr,DeMarr Langford Jr.,Boston College,ACC,48.9,48.9,3.8,8,12.5,20.3,1.1,0.9,23.8,1.8,2.8,7
76,So,Ian Schieffelin,Clemson,ACC,48.6,57.5,7.9,16.2,16.3,19.6,1.6,1,36.1,1.8,4.1,5.4
77,So,Brandon Huntley-Hatfield,Louisville,ACC,48,53.7,7.6,18,5.3,26.1,3.3,1.5,37.8,0.6,5.4,6.7
